text,tag
"""85% of today's jobs won't exist in the future of work"". What will happen if we see this ""overnight"" due to the outbreak of the coronavirus?",Economics
140 years ago Karl Marx predicted that the capitalist system is inherently unstable. Do you agree with this?,Economics
"A lot of people ""detox""...Is it actually possible to detox our body?",Biology
Accounting practices vary from country to country. Is it necessary or is it possible to have the same accounting processes everywhere?,Business Management
Are amino acids good for you?,"Sports, Exercise and Health Science"
Are conquests in history always associated with a conqueror?,History
Are fish-bone diagrams a tool that is often used by business?,Business Management
Are global wars always motivated by territorial expansion?,History
Are green tech products more expensive for the consumer?,Geography
Are solar panels really better for the environment?,Geography
Are there any criteria for innovation?,Career
Are there any organizational processes that are unique to your company?,Business Management
Are there any tips on planning your tasks efficiently in order to find balance between personal life and work?,Career
Are there any tips to deal with stress and boost my confidence before an interview?,Career
Are there any valuable insights you can share about organizing events on social networks? How do you manage curated online community so as to maximize physical turnout?,Business Management
Are there areas of psychology where I can do internships/job shadowing that are not just counseling?,Psychology
Are there noticeable trends in social media when it comes to engagement with your company?,Business Management
Are top students always successful in their chosen career?,Career
"As a non native English speaker ,could I have a bright career abroad?",Career
As the world is becoming more globalized. My question is how can individuals within a company influence the culture within a company?,Business Management
At which age is it advisable to start building one’s career?,Career
Can 9/11 be considered the starting point of the global war on terror?,History
"Can I create a business plan on my own, without any knowledge in the financial area and/or digital marketing? How Future cost? Advertising?",Economics
"Can I create a business plan on my own, without any knowledge in the financial area and/or digital marketing? How Future cost? Advertising?",Business Management
Can a DNA profile be obtained from DNA fingerprinting?,Biology
Can a business plan helps you to increase your profits?,Economics
Can a business plan helps you to increase your profits?,Business Management
Can an employee work efficiently from home?,Career
Can anyone be an artist?,Visual Arts
Can blockchain help businesses demonstrate greater transparency and build digital trust?,Business Management
Can changes is national fiscal & monetary policies help economies get through difficulties being caused by the outbreak of the coronavirus? How?,Economics
Can conflicts with non-state actors be fought in a just way?,History
Can exercising come to a point that it could be bad for you?What is the best age to exercise like at what age could you start lifting heavier weights.,"Sports, Exercise and Health Science"
